StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM
Nt,ri,wt,tf,bt,cf,hs,wbi,turns,angle,torque,Nm,rsh,rr,wm,dm,mf,angle,Torque: 0.5,Torque: 0.6,Torque: 0.7
6,30,10,0.6,10,0.7,10,10,100,0,-0.0645270052,4,6,26,7,6,0.5,162,0.0645270057,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0204225031,4,6,26,7,6,0.5,165,-0.0204225027,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0625861508,4,6,26,7,6,0.5,168,-0.0625861505,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0222063176,4,6,26,7,6,0.5,171,-0.0222063174,,
6,30,10,0.6,10,0.7,10,10,100,0,-0.058655979,4,6,26,7,6,0.5,174,0.0586559795,,
6,30,10,0.6,10,0.7,10,10,100,0,-0.0411307252,4,6,26,7,6,0.5,177,0.0411307253,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0116140696,4,6,26,7,6,0.5,180,-0.0116140693,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.0035510385,4,6,26,7,6,0.5,0,0.0035510387,,
6,30,10,0.7,10,0.7,10,10,100,0,0.0235969569,4,6,26,7,6,0.5,3,-0.0235969571,,
6,30,10,0.7,10,0.7,10,10,100,0,0.0862771902,4,6,26,7,6,0.5,6,-0.0862771902,,
6,30,10,0.7,10,0.7,10,10,100,0,0.129160453,4,6,26,7,6,0.5,9,-0.1291604527,,
6,30,10,0.7,10,0.7,10,10,100,0,0.0885019073,4,6,26,7,6,0.5,12,-0.0885019073,,
6,30,10,0.7,10,0.7,10,10,100,0,0.0031311876,4,6,26,7,6,0.5,15,-0.0031311875,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.0860291288,4,6,26,7,6,0.5,18,0.0860291292,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.1291664858,4,6,26,7,6,0.5,21,0.1291664859,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.0751612007,4,6,26,7,6,0.5,24,0.0751612011,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.0341507934,4,6,26,7,6,0.5,27,0.0341507931,,
6,30,10,0.7,10,0.7,10,10,100,0,0.0320074167,4,6,26,7,6,0.5,30,-0.0320074168,,
6,30,10,0.7,10,0.7,10,10,100,0,0.0619263288,4,6,26,7,6,0.5,33,-0.0619263281,,
6,30,10,0.7,10,0.7,10,10,100,0,0.1135751859,4,6,26,7,6,0.5,36,-0.1135751853,,
6,30,10,0.7,10,0.7,10,10,100,0,0.1273087239,4,6,26,7,6,0.5,39,-0.127308724,,
6,30,10,0.7,10,0.7,10,10,100,0,0.084995159,4,6,26,7,6,0.5,42,-0.0849951583,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.0094253361,4,6,26,7,6,0.5,45,0.0094253365,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.0993179129,4,6,26,7,6,0.5,48,0.0993179137,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.1162384406,4,6,26,7,6,0.5,51,0.1162384409,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.1232114939,4,6,26,7,6,0.5,54,0.1232114945,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.0647085447,4,6,26,7,6,0.5,57,0.0647085451,,
6,30,10,0.7,10,0.7,10,10,100,0,0.0082806453,4,6,26,7,6,0.5,60,-0.0082806449,,
6,30,10,0.7,10,0.7,10,10,100,0,0.0166151193,4,6,26,7,6,0.5,63,-0.0166151192,,
6,30,10,0.7,10,0.7,10,10,100,0,0.0911828852,4,6,26,7,6,0.5,66,-0.0911828848,,
6,30,10,0.7,10,0.7,10,10,100,0,0.1049325712,4,6,26,7,6,0.5,69,-0.1049325707,,
6,30,10,0.7,10,0.7,10,10,100,0,0.0952248706,4,6,26,7,6,0.5,72,-0.0952248705,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.0086985764,4,6,26,7,6,0.5,75,0.0086985765,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.0902334127,4,6,26,7,6,0.5,78,0.0902334129,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.1234708742,4,6,26,7,6,0.5,81,0.1234708744,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.1132064408,4,6,26,7,6,0.5,84,0.1132064408,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.0654756398,4,6,26,7,6,0.5,87,0.0654756401,,
6,30,10,0.7,10,0.7,10,10,100,0,0.0047573301,4,6,26,7,6,0.5,90,-0.0047573299,,
6,30,10,0.7,10,0.7,10,10,100,0,0.0281873049,4,6,26,7,6,0.5,93,-0.0281873051,,
6,30,10,0.7,10,0.7,10,10,100,0,0.0879561096,4,6,26,7,6,0.5,96,-0.0879561096,,
6,30,10,0.7,10,0.7,10,10,100,0,0.1321001586,4,6,26,7,6,0.5,99,-0.1321001583,,
6,30,10,0.7,10,0.7,10,10,100,0,0.0780343475,4,6,26,7,6,0.5,102,-0.0780343475,,
6,30,10,0.7,10,0.7,10,10,100,0,0.0032021678,4,6,26,7,6,0.5,105,-0.0032021674,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.093222713,4,6,26,7,6,0.5,108,0.0932227134,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.1304661569,4,6,26,7,6,0.5,111,0.1304661571,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.0741894318,4,6,26,7,6,0.5,114,0.0741894322,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.0268382111,4,6,26,7,6,0.5,117,0.0268382108,,
6,30,10,0.7,10,0.7,10,10,100,0,0.0324704772,4,6,26,7,6,0.5,120,-0.0324704773,,
6,30,10,0.7,10,0.7,10,10,100,0,0.0596740242,4,6,26,7,6,0.5,123,-0.0596740235,,
6,30,10,0.7,10,0.7,10,10,100,0,0.1167128918,4,6,26,7,6,0.5,126,-0.1167128912,,
6,30,10,0.7,10,0.7,10,10,100,0,0.1293188284,4,6,26,7,6,0.5,129,-0.1293188284,,
6,30,10,0.7,10,0.7,10,10,100,0,0.0833731445,4,6,26,7,6,0.5,132,-0.0833731438,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.0049798615,4,6,26,7,6,0.5,135,0.0049798619,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.0920968319,4,6,26,7,6,0.5,138,0.0920968327,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.1180438548,4,6,26,7,6,0.5,141,0.1180438551,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.1187033205,4,6,26,7,6,0.5,144,0.1187033212,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.0564654162,4,6,26,7,6,0.5,147,0.0564654167,,
6,30,10,0.7,10,0.7,10,10,100,0,0.0135318742,4,6,26,7,6,0.5,150,-0.0135318738,,
6,30,10,0.7,10,0.7,10,10,100,0,0.0112293951,4,6,26,7,6,0.5,153,-0.011229395,,
6,30,10,0.7,10,0.7,10,10,100,0,0.0861496024,4,6,26,7,6,0.5,156,-0.0861496021,,
6,30,10,0.7,10,0.7,10,10,100,0,0.1125769807,4,6,26,7,6,0.5,159,-0.1125769803,,
6,30,10,0.7,10,0.7,10,10,100,0,0.1014894341,4,6,26,7,6,0.5,162,-0.101489434,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.0200551349,4,6,26,7,6,0.5,165,0.0200551352,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.0910807094,4,6,26,7,6,0.5,168,0.0910807096,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.1249360882,4,6,26,7,6,0.5,171,0.1249360885,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.1140006764,4,6,26,7,6,0.5,174,0.1140006765,,
6,30,10,0.7,10,0.7,10,10,100,0,-0.0647527243,4,6,26,7,6,0.5,177,0.0647527246,,
6,30,10,0.7,10,0.7,10,10,100,0,0.0022702625,4,6,26,7,6,0.5,180,-0.0022702623,,
